Province,Saving_cooling_energy_MJ_per_m2,Saving_heating_energy_MJ_per_m2,Saving_Total
Anhui Province,84.15505272830619,7.765817176308758,91.92086990461495
Beijing,90.55752059673728,25.4209585454056,115.97847914214287
Chongqing,85.05498651607357,1.937095718355636,86.9920822344292
Fujian Province,102.9558199793889,0.7634594753432893,103.7192794547322
Gansu Province,116.6875839307003,35.66364794286892,152.35123187356922
Guangdong Province,121.1655969522021,0.02391595251562695,121.18951290471772
Guangxi Zhuang Autonomous Region,99.56611537506998,2.193023490388605,101.7591388654586
Guizhou Province,75.91983963928004,6.007092379380623,81.92693201866066
Hainan Province,127.3626094312204,0.0,127.3626094312204
Hebei Province,101.0200355831729,21.92995223105282,122.94998781422572
Heilongjiang Province,35.23571990938722,78.63005425070924,113.86577416009646
Henan Province,91.40557783585295,10.1212173046934,101.52679514054635
Hongkong,64.51721501112229,0.0,64.51721501112229
Hubei Province,59.1875424512811,6.963119680293119,66.15066213157422
Hunan Province,55.1702846472531,6.178268895310595,61.34855354256369
Inner Mongolia Autonomous Region,81.64343122228624,73.85666532485698,155.50009654714322
Jiangsu Province,84.88065746539918,6.400094986663959,91.28075245206314
Jiangxi Province,101.3115766953409,4.705043385492786,106.01662008083369
Jilin Province,44.37359697511271,68.34975572898884,112.72335270410156
Liaoning Province,21.52070107535667,24.79241200432045,46.31311307967712
Macau,64.58909025035149,0.0,64.58909025035149
Ningxia Hui Autonomous Region,83.31235174772797,37.99550311834673,121.3078548660747
Qinghai Province,66.03940987259784,52.24160770190178,118.28101757449963
Shaanxi Province,91.1365747511843,11.51624376991151,102.65281852109581
Shandong Province,86.90124616399568,16.48811523188994,103.38936139588562
Shanghai,46.20080376814563,8.416555416022959,54.61735918416859
Shanxi Province,79.6998595656979,28.12850070861168,107.82836027430959
Sichuan Province,57.68719408339167,3.677800105652182,61.36499418904385
Taiwan Province,65.62344107401415,0.0,65.62344107401415
Tianjin,93.3927322930729,26.25068155295105,119.64341384602395
Tibet Autonomous Region,81.52382872412342,20.39157179325093,101.91540051737435
Xinjiang Uyghur Autonomous Region,138.3802951543949,36.10425833514,174.4845534895349
Yunnan Province,116.8674820958145,1.908532054607107,118.7760141504216
Zhejiang Province,93.47404621483975,3.935870454924725,97.40991666976447
shenzhen,76.17840505869364,0.1204013413360507,76.29880640002969
